district,month,month_dt,ASSI_before,ASSI_after,risk_probability_before,risk_probability_after
Gondiya,2025-07,2025-07-01,28.98,28.86,0.0040294073166691185,0.051152943335394066
Gondiya,2025-07,2025-07-01,28.98,28.86,0.051152943335394066,0.0040294073166691185
Gondiya,2025-07,2025-07-01,28.98,28.86,0.051152943335394066,0.051152943335394066
Gondiya,2025-07,2025-07-01,28.98,27.02,0.0040294073166691185,0.0040294073166691185
Gondiya,2025-07,2025-07-01,28.98,27.02,0.0040294073166691185,0.051152943335394066
Gondiya,2025-07,2025-07-01,28.98,27.02,0.051152943335394066,0.0040294073166691185
Gondiya,2025-07,2025-07-01,28.98,27.02,0.051152943335394066,0.051152943335394066
Gondiya,2025-07,2025-07-01,27.02,28.86,0.0040294073166691185,0.0040294073166691185
Gondiya,2025-07,2025-07-01,27.02,28.86,0.0040294073166691185,0.051152943335394066
Gondiya,2025-07,2025-07-01,27.02,28.86,0.051152943335394066,0.0040294073166691185
Gondiya,2025-07,2025-07-01,27.02,28.86,0.051152943335394066,0.051152943335394066
Gondiya,2025-07,2025-07-01,27.02,27.02,0.0040294073166691185,0.0040294073166691185
Gondiya,2025-07,2025-07-01,27.02,27.02,0.0040294073166691185,0.051152943335394066
Gondiya,2025-07,2025-07-01,27.02,27.02,0.051152943335394066,0.0040294073166691185
Gondiya,2025-07,2025-07-01,27.02,27.02,0.051152943335394066,0.051152943335394066
Gondiya,2025-08,2025-08-01,29.3,29.14,0.0040294073166691185,0.0040294073166691185
Gondiya,2025-08,2025-08-01,29.3,29.14,0.0040294073166691185,0.051152943335394066
Gondiya,2025-08,2025-08-01,29.3,29.14,0.051152943335394066,0.0040294073166691185
Gondiya,2025-08,2025-08-01,29.3,29.14,0.051152943335394066,0.051152943335394066
Gondiya,2025-08,2025-08-01,29.3,27.03,0.0040294073166691185,0.0040294073166691185
Gondiya,2025-08,2025-08-01,29.3,27.03,0.0040294073166691185,0.051152943335394066
Gondiya,2025-08,2025-08-01,29.3,27.03,0.051152943335394066,0.0040294073166691185
Gondiya,2025-08,2025-08-01,29.3,27.03,0.051152943335394066,0.051152943335394066
Gondiya,2025-08,2025-08-01,27.03,29.14,0.0040294073166691185,0.0040294073166691185
Gondiya,2025-08,2025-08-01,27.03,29.14,0.0040294073166691185,0.051152943335394066
Gondiya,2025-08,2025-08-01,27.03,29.14,0.051152943335394066,0.0040294073166691185
Gondiya,2025-08,2025-08-01,27.03,29.14,0.051152943335394066,0.051152943335394066
Gondiya,2025-08,2025-08-01,27.03,27.03,0.0040294073166691185,0.0040294073166691185
Gondiya,2025-08,2025-08-01,27.03,27.03,0.0040294073166691185,0.051152943335394066
Gondiya,2025-08,2025-08-01,27.03,27.03,0.051152943335394066,0.0040294073166691185
Gondiya,2025-08,2025-08-01,27.03,27.03,0.051152943335394066,0.051152943335394066
Gondiya,2025-09,2025-09-01,33.61,33.17,0.02008646995261232,0.04063011972124326
Gondiya,2025-09,2025-09-01,33.61,33.17,0.02008646995261232,0.11375324387110512
Gondiya,2025-09,2025-09-01,33.61,33.17,0.11375324387110512,0.04063011972124326
Gondiya,2025-09,2025-09-01,33.61,33.17,0.11375324387110512,0.11375324387110512
Gondiya,2025-09,2025-09-01,33.61,26.0,0.02008646995261232,0.04063011972124326
Gondiya,2025-09,2025-09-01,33.61,26.0,0.02008646995261232,0.11375324387110512
Gondiya,2025-09,2025-09-01,33.61,26.0,0.11375324387110512,0.04063011972124326
Gondiya,2025-09,2025-09-01,33.61,26.0,0.11375324387110512,0.11375324387110512
Gondiya,2025-09,2025-09-01,26.01,33.17,0.02008646995261232,0.04063011972124326
Gondiya,2025-09,2025-09-01,26.01,33.17,0.02008646995261232,0.11375324387110512
Gondiya,2025-09,2025-09-01,26.01,33.17,0.11375324387110512,0.04063011972124326
Gondiya,2025-09,2025-09-01,26.01,33.17,0.11375324387110512,0.11375324387110512
Gondiya,2025-09,2025-09-01,26.01,26.0,0.02008646995261232,0.04063011972124326
Gondiya,2025-09,2025-09-01,26.01,26.0,0.02008646995261232,0.11375324387110512
Gondiya,2025-09,2025-09-01,26.01,26.0,0.11375324387110512,0.04063011972124326
Gondiya,2025-09,2025-09-01,26.01,26.0,0.11375324387110512,0.11375324387110512
Gondiya,2025-10,2025-10-01,35.64,35.1,0.01752973656668366,0.01752973656668366
Gondiya,2025-10,2025-10-01,35.64,35.1,0.01752973656668366,0.6888650229976531
Gondiya,2025-10,2025-10-01,35.64,35.1,0.6888650229976531,0.01752973656668366
Gondiya,2025-10,2025-10-01,35.64,35.1,0.6888650229976531,0.6888650229976531
Gondiya,2025-10,2025-10-01,35.64,23.95,0.01752973656668366,0.01752973656668366
Gondiya,2025-10,2025-10-01,35.64,23.95,0.01752973656668366,0.6888650229976531
Gondiya,2025-10,2025-10-01,35.64,23.95,0.6888650229976531,0.01752973656668366
Gondiya,2025-10,2025-10-01,35.64,23.95,0.6888650229976531,0.6888650229976531
Gondiya,2025-10,2025-10-01,23.97,35.1,0.01752973656668366,0.01752973656668366
Gondiya,2025-10,2025-10-01,23.97,35.1,0.01752973656668366,0.6888650229976531
Gondiya,2025-10,2025-10-01,23.97,35.1,0.6888650229976531,0.01752973656668366
Gondiya,2025-10,2025-10-01,23.97,35.1,0.6888650229976531,0.6888650229976531
Gondiya,2025-10,2025-10-01,23.97,23.95,0.01752973656668366,0.01752973656668366
Gondiya,2025-10,2025-10-01,23.97,23.95,0.01752973656668366,0.6888650229976531
Gondiya,2025-10,2025-10-01,23.97,23.95,0.6888650229976531,0.01752973656668366
Gondiya,2025-10,2025-10-01,23.97,23.95,0.6888650229976531,0.6888650229976531
Gondiya,2025-11,2025-11-01,39.44,38.72,0.044350992278772525,0.020961085648708917
Gondiya,2025-11,2025-11-01,39.44,38.72,0.044350992278772525,0.09326208556770336
Gondiya,2025-11,2025-11-01,39.44,38.72,0.07390895766553626,0.020961085648708917
Gondiya,2025-11,2025-11-01,39.44,38.72,0.07390895766553626,0.09326208556770336
Gondiya,2025-11,2025-11-01,39.44,20.64,0.044350992278772525,0.020961085648708917
Gondiya,2025-11,2025-11-01,39.44,20.64,0.044350992278772525,0.09326208556770336
Gondiya,2025-11,2025-11-01,39.44,20.64,0.07390895766553626,0.020961085648708917
Gondiya,2025-11,2025-11-01,39.44,20.64,0.07390895766553626,0.09326208556770336
Gondiya,2025-11,2025-11-01,20.67,38.72,0.044350992278772525,0.020961085648708917
Gondiya,2025-11,2025-11-01,20.67,38.72,0.044350992278772525,0.09326208556770336
Gondiya,2025-11,2025-11-01,20.67,38.72,0.07390895766553626,0.020961085648708917
Gondiya,2025-11,2025-11-01,20.67,38.72,0.07390895766553626,0.09326208556770336
Gondiya,2025-11,2025-11-01,20.67,20.64,0.044350992278772525,0.020961085648708917
Gondiya,2025-11,2025-11-01,20.67,20.64,0.044350992278772525,0.09326208556770336
